"AIRPORT_SPECIAL_REQUIREMENT_ID","LATEST_VERSION","LAST_USER_ID","REQUIREMENT_TYPE","PRIORITY","COMMENTS","REMARKS","CATEGORY","CONTINUOUS_TIME_PERIOD","START_DATE","END_DATE","START_TIME_OF_DAY","END_TIME_OF_DAY","DISCONT_DAYS_OF_WEEK","AIRPORT_CODE","AIRPORTS_GROUP_ID","AIRPORT_TYPE","R_SCOPE","R_OWNER","CONSTRAINT_ID","SOURCE","LAST_MODIFIED_TIME_STAMP"
"144208719","0","216246","AIRCRAFT","MUST","每年11月到次年3月不能有二类运行的保留故障。","每年11月到次年3月不能有二类运行的保留故障【根据国航股份业务通告（2018）第9号要求】。","ACequipment","1","2025/10/31","2026/2/28","16:00","15:59","1234567","URC","","BOTH","GLOBAL","","91127816","MM","2024/10/17 8:25:53"
"142658709","0","216246","AIRCRAFT","MUST","尼泊尔飞机注册","","COUNTRY","1","2019/6/17","2050/6/17","00:00","23:59","1234567","","488367999","BOTH","GLOBAL","","90996834","MM","2024/9/10 7:29:05"
"144208718","0","216246","AIRCRAFT","MUST","每年11月到次年3月不能有二类运行的保留故障。","每年11月到次年3月不能有二类运行的保留故障【根据国航股份业务通告（2018）第9号要求】。","ACequipment","1","2024/10/31","2025/2/28","16:00","15:59","1234567","URC","","BOTH","GLOBAL","","91127815","MM","2024/10/17 8:25:21"
"40","0","216246","AIRCRAFT","MUST","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","ACequipment","1","2021/6/22","2050/6/1","00:00","23:59","1234567","PTY","","BOTH","GLOBAL","","240","MM","2023/8/1"
"41","0","216246","AIRCRAFT","MUST","新加坡飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","SIN","","BOTH","GLOBAL","","241","MM","2023/8/1"
"42","0","216246","AIRCRAFT","MUST","蒙古飞机注册","","COUNTRY","1","2022/8/26","2050/8/1","00:00","23:59","1234567","UBN","","BOTH","GLOBAL","","242","MM","2023/8/1"
"43","0","216246","AIRCRAFT","MUST","每年11月到次年3月不能有二类运行的保留故障。","每年11月到次年3月不能有二类运行的保留故障【根据国航股份业务通告（2018）第9号要求】。","ACequipment","1","2022/10/31","2023/2/28","16:00","15:59","1234567","URC","","BOTH","GLOBAL","","243","MM","2023/8/1"
"44","0","216246","AIRCRAFT","MUST","邵阳机场发通告，2020年12月18日到2021年4月22日安排的飞机需要ADSB能力","2020.12.16航班运行控制室王刚通知","ACequipment","1","2020/12/17","2021/4/22","16:00","23:59","1234567","WGN","","BOTH","GLOBAL","","244","MM","2023/8/1"
"45","0","216246","AIRCRAFT","MUST","执飞茅台机场的飞机必须APU无故障保留。","2019.7.5自AIROPS迁移。","APU","1","2019/7/5","2050/7/1","00:00","23:59","1234567","WMT","","BOTH","GLOBAL","","245","MM","2023/8/1"
"140235612","0","0","AIRCRAFT","HIGH","如签派确认当日航班不执行北线航路，可使用非高原型飞机。","如签派确认当日航班不执行北线航路，可使用非高原型飞机。","OPSLIMIT","1","2024/6/11","2050/6/30","00:00","23:59","1234567","RUH","","BOTH","GLOBAL","","90800186","MM","2024/6/12 6:31:50"
"140697894","0","216246","AIRCRAFT","MUST","孟加拉飞机注册","","COUNTRY","1","2024/7/8","2050/6/1","00:00","23:59","1234567","","468460546","BOTH","GLOBAL","","90899110","MM","2024/7/8 1:38:03"
"138772909","0","216246","AIRCRAFT","MUST","古巴飞机注册","","COUNTRY","1","2024/4/26","2050/6/1","00:00","23:59","1234567","","447391671","BOTH","GLOBAL","","90734596","MM","2024/4/26 5:13:52"
"129605413","0","216246","AIRCRAFT","MUST","缅甸飞机注册","","COUNTRY","1","2023/9/15","2050/6/1","00:00","23:59","1234567","","383587704","BOTH","GLOBAL","","90210304","MM","2023/9/15 1:09:47"
"138649269","0","216246","AIRCRAFT","MUST","沙特阿拉伯飞机注册","","COUNTRY","1","2024/4/23","2050/6/1","00:00","23:59","1234567","","446526218","BOTH","GLOBAL","","90734592","MM","2024/4/23 9:11:52"
"131411476","0","216246","AIRCRAFT","MUST","每年11月到次年3月不能有二类运行的保留故障。","每年11月到次年3月不能有二类运行的保留故障【根据国航股份业务通告（2018）第9号要求】。","ACequipment","1","2023/10/31","2024/2/29","16:00","15:59","1234567","URC","","BOTH","GLOBAL","","90308615","MM","2023/10/31 0:30:29"
"133360936","0","216246","AIRCRAFT","MUST","土耳其飞机注册","","COUNTRY","1","2022/6/20","2050/6/1","00:00","23:59","1234567","","408905009","BOTH","GLOBAL","","90439680","MM","2023/12/19 9:10:33"
"37","0","216246","AIRCRAFT","MUST","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","ACequipment","1","2021/6/22","2050/6/1","00:00","23:59","1234567","JNB","","BOTH","GLOBAL","","237","MM","2023/8/1"
"38","0","216246","AIRCRAFT","MUST","执飞康定机场的飞机必须具备高高原能力和RNP AR APCH，双组件无故障保留。","2019.7.5自AIROPS迁移。","HAAP","1","2019/7/5","2050/7/1","00:00","23:59","1234567","KGT","","BOTH","GLOBAL","","238","MM","2023/8/1"
"39","0","216246","AIRCRAFT","MUST","澳门飞机注册","","COUNTRY","1","2019/6/17","2050/6/17","00:00","23:59","1234567","MFM","","BOTH","GLOBAL","","239","MM","2023/8/1"
"1","1","216246","AIRCRAFT","LOW","跑道长度低于2400米的机场，建议使用具备短跑道性能的飞机。","跑道长度低于2400米的机场，建议使用具备短跑道性能的738飞机。","OPSLIMIT","1","2021/12/29","2051/8/1","00:00","23:59","1234567","","253411520","BOTH","GLOBAL","","201","MM","2023/12/5 2:16:26"
"2","0","216246","AIRCRAFT","MUST","加拿大飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","2","BOTH","GLOBAL","","202","MM","2023/8/1"
"3","0","216246","AIRCRAFT","MUST","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","ACequipment","1","2021/6/22","2050/6/1","00:00","23:59","1234567","","2","BOTH","GLOBAL","","203","MM","2023/8/1"
"4","0","216246","AIRCRAFT","MUST","南非飞机注册","","COUNTRY","1","2019/6/17","2050/6/17","00:00","23:59","1234567","","361098670","BOTH","GLOBAL","","204","MM","2023/8/1"
"5","0","216246","AIRCRAFT","MUST","台湾地区飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","6","BOTH","GLOBAL","","205","MM","2023/8/1"
"6","0","216246","AIRCRAFT","MUST","台湾航线必须由完成国旗覆盖喷涂的飞机执行。","台湾航线必须由完成国旗覆盖喷涂的飞机执行。","OPSLIMIT","1","2019/7/1","2050/7/1","00:00","23:59","1234567","","6","BOTH","GLOBAL","","206","MM","2023/8/1"
"7","0","216246","AIRCRAFT","MUST","巴西飞机注册","","COUNTRY","1","2019/6/17","2050/6/17","00:00","23:59","1234567","","16","BOTH","GLOBAL","","207","MM","2023/8/1"
"8","0","216246","AIRCRAFT","MUST","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","ACequipment","1","2021/6/22","2050/6/1","00:00","23:59","1234567","","16","BOTH","GLOBAL","","208","MM","2023/8/1"
"9","0","216246","AIRCRAFT","MUST","德国飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","8","BOTH","GLOBAL","","209","MM","2023/8/1"
"10","0","216246","AIRCRAFT","MUST","意大利飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","12","BOTH","GLOBAL","","210","MM","2023/8/1"
"11","0","216246","AIRCRAFT","MUST","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","ACequipment","1","2021/6/22","2050/6/1","00:00","23:59","1234567","","87926434","BOTH","GLOBAL","","211","MM","2023/8/1"
"12","0","216246","AIRCRAFT","MUST","执飞新西兰航线需要具备CPDLC能力","","OPSLIMIT","1","2019/3/1","2023/3/13","00:00","23:59","1234567","","87926434","BOTH","GLOBAL","","212","MM","2023/8/1"
"13","0","216246","AIRCRAFT","MUST","新西兰飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","87926434","BOTH","GLOBAL","","213","MM","2023/8/1"
"14","0","216246","AIRCRAFT","MUST","日本飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","4","BOTH","GLOBAL","","214","MM","2023/8/1"
"15","0","216246","AIRCRAFT","MUST","法国飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","10","BOTH","GLOBAL","","215","MM","2023/8/1"
"16","0","216246","AIRCRAFT","MUST","澳大利亚飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","3","BOTH","GLOBAL","","216","MM","2023/8/1"
"17","0","216246","AIRCRAFT","MUST","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","ACequipment","1","2021/6/22","2050/6/1","00:00","23:59","1234567","","3","BOTH","GLOBAL","","217","MM","2023/8/1"
"18","0","216246","AIRCRAFT","MUST","执飞澳洲航线需要具备CPDLC能力","","OPSLIMIT","1","2019/3/1","2023/3/13","00:00","23:59","1234567","","3","BOTH","GLOBAL","","218","MM","2023/8/1"
"19","0","216246","AIRCRAFT","MUST","美国飞机注册","","COUNTRY","1","2019/6/17","2050/6/17","00:00","23:59","1234567","","1","BOTH","GLOBAL","","219","MM","2023/8/1"
"20","0","216246","AIRCRAFT","MUST","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","ACequipment","1","2021/6/22","2050/6/1","00:00","23:59","1234567","","1","BOTH","GLOBAL","","220","MM","2023/8/1"
"21","0","216246","AIRCRAFT","MUST","英国飞机注册","","COUNTRY","1","2019/6/17","2051/5/1","00:00","23:59","1234567","","9","BOTH","GLOBAL","","221","MM","2023/8/1"
"22","0","216246","AIRCRAFT","MUST","菲律宾飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","7","BOTH","GLOBAL","","222","MM","2023/8/1"
"23","0","216246","AIRCRAFT","MUST","西班牙飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","13","BOTH","GLOBAL","","223","MM","2023/8/1"
"24","0","216246","AIRCRAFT","MUST","越南国家注册","","COUNTRY","1","2019/6/17","2050/8/2","00:00","23:59","1234567","","295253245","BOTH","GLOBAL","","224","MM","2023/8/1"
"25","0","216246","AIRCRAFT","MUST","阿联酋飞机注册","","COUNTRY","1","2022/1/10","2050/1/10","00:00","23:59","1234567","","15","BOTH","GLOBAL","","225","MM","2023/8/1"
"26","0","216246","AIRCRAFT","MUST","韩国飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","","5","BOTH","GLOBAL","","226","MM","2023/8/1"
"27","0","216246","AIRCRAFT","MUST","马来西亚飞机注册","","COUNTRY","1","2022/6/20","2050/6/1","00:00","23:59","1234567","","279672004","BOTH","GLOBAL","","227","MM","2023/8/1"
"28","0","216246","AIRCRAFT","MUST","执飞高高原机场的飞机必须具备高高原能力和RNP AR APCH，双组件无故障保留。","","HAAP","1","2019/7/5","2050/7/1","00:00","23:59","1234567","","201","BOTH","GLOBAL","","228","MM","2023/8/1"
"29","0","216246","AIRCRAFT","MUST","印度尼西亚飞机注册，仅限PEK-CGK航线","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","CGK","","BOTH","GLOBAL","","229","MM","2023/8/1"
"30","0","216246","AIRCRAFT","MUST","执飞丹东机场的飞机应具备大连公共RNP AR程序批准。","","PBN","1","2019/9/2","2050/7/1","00:00","23:59","1234567","DDG","","BOTH","GLOBAL","","230","MM","2023/8/1"
"31","0","216246","AIRCRAFT","MUST","执飞大连机场的飞机应具备大连公共RNP AR程序批准。","","PBN","1","2019/9/2","2050/7/1","00:00","23:59","1234567","DLC","","BOTH","GLOBAL","","231","MM","2023/8/1"
"32","0","216246","AIRCRAFT","MUST","张家界机场发通告，2020年12月17日开始安排的飞机需要ADSB能力","2020.12.16航班运行控制室王刚通知","ACequipment","1","2019/12/17","2061/4/1","16:00","23:59","1234567","DYG","","BOTH","GLOBAL","","232","MM","2023/8/1"
"33","0","216246","AIRCRAFT","MUST","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","执行此航线的飞机需ULB改装。无ULB改装飞机不可执行距离超过400海里的航线。","ACequipment","1","2021/6/22","2050/6/1","00:00","23:59","1234567","HAV","","BOTH","GLOBAL","","233","MM","2023/8/1"
"34","0","216246","AIRCRAFT","MUST","香港飞机注册","","COUNTRY","1","2019/6/17","2050/6/1","00:00","23:59","1234567","HKG","","BOTH","GLOBAL","","234","MM","2023/8/1"
"35","0","216246","AIRCRAFT","MUST","执飞和田机场的飞机必须APU无故障保留。","2020.11.2航班运行控制室王刚通知。","APU","1","2020/11/3","2050/7/1","00:00","23:59","1234567","HTN","","BOTH","GLOBAL","","235","MM","2023/8/1"
"36","0","216246","AIRCRAFT","MUST","APU故障航班不得执行华盛顿航班。","2019.8.15通知。","APU","1","2019/8/15","2050/8/1","00:00","23:59","1234567","IAD","","BOTH","GLOBAL","","236","MM","2023/8/1"
